iter	F1	Logloss
0	0.7710023002	0.6876988019
1	0.7840502512	0.6813169976
2	0.7837145989	0.6755545799
3	0.7867026994	0.6711668367
4	0.7876389222	0.6661282248
5	0.7860775377	0.662950484
6	0.7870093084	0.6576023113
7	0.7848577411	0.6537194948
8	0.7885112032	0.6498758957
9	0.7875920671	0.6461950256
10	0.7881547366	0.6451516901
11	0.7860398469	0.641583502
12	0.7851298963	0.6387150863
13	0.7878501236	0.6352184157
14	0.7890699907	0.6312071302
15	0.7915210928	0.62707063
16	0.7912138726	0.6238122438
17	0.7912138726	0.6210870469
18	0.7896813419	0.6189850397
19	0.7918285517	0.6148320561
20	0.7915210928	0.6126760399
21	0.7933694359	0.6099077472
22	0.7942968484	0.6070254924
23	0.7942968484	0.6043228097
24	0.7961581933	0.6013978113
25	0.7967805817	0.5986313872
26	0.797403944	0.5949365508
27	0.797092141	0.5927646922
28	0.8005354434	0.5895121403
29	0.8021104346	0.5867173508
30	0.8033748967	0.5839207894
31	0.8036916354	0.5823967397
32	0.8027421677	0.5817347058
33	0.8040086239	0.5781814352
34	0.8040086239	0.5762621052
35	0.8040086239	0.5742909341
36	0.8043258626	0.5725567275
37	0.807512073	0.5698012719
38	0.8084728644	0.5686299784
39	0.8097574818	0.5666952627
40	0.8100792743	0.5649205148
41	0.8139608285	0.5628617637
42	0.8159155883	0.5609813261
43	0.8149370362	0.5589560205
44	0.8172239858	0.5561048174
45	0.8185365864	0.5535215222
46	0.8195238072	0.5507594932
47	0.8238294264	0.5474182529
48	0.825163349	0.5453699107
49	0.825163349	0.5438320753
50	0.8265015982	0.5406350668
51	0.8285171309	0.5385073537
52	0.8288540091	0.5370544942
53	0.8322379201	0.5341899619
54	0.8349650081	0.5324267123
55	0.8353071513	0.5315215192
56	0.8370220817	0.5283328363
57	0.8394348485	0.5260988727
58	0.8401267674	0.523446352
59	0.8418615654	0.5199641232
60	0.8443023537	0.5183504405
61	0.8453527437	0.5171430491
62	0.8464057507	0.5141337952
63	0.849934799	0.511815463
64	0.8517103819	0.5097478378
65	0.8531361986	0.5082718228
66	0.852779297	0.5074760244
67	0.852779297	0.5057602709
68	0.8538508986	0.5040815411
69	0.8549251967	0.5015948694
70	0.8563618064	0.5002862242
71	0.8588875253	0.4980937079
72	0.8599745428	0.4973733202
73	0.861792366	0.4941617335
74	0.8632521671	0.4923460971
75	0.8632521671	0.4899643679
76	0.8658187548	0.4875856476
77	0.8654511654	0.4865535315
78	0.8665548711	0.4844503365
79	0.8669233988	0.4831157293
80	0.8680308652	0.4805156398
81	0.8698829436	0.4789924642
82	0.8713703066	0.4761713095
83	0.8702543081	0.4751463918
84	0.8728627645	0.4719640624
85	0.8732366782	0.4711048269
86	0.8769935099	0.4693492604
87	0.8790519974	0.4676725343
88	0.8805680536	0.4661481675
89	0.8798093724	0.4650665343
90	0.8809478851	0.4628268027
91	0.8832337731	0.4612591167
92	0.8836159083	0.4602581876
93	0.8836159083	0.4595946667
94	0.8855315549	0.4580065987
95	0.8866849349	0.4568069601
96	0.8870700629	0.4549304176
97	0.8882274568	0.4539945183
98	0.8890007321	0.4527582358
99	0.8905513289	0.4512279514
100	0.8921073442	0.4493923435
101	0.8932779288	0.4482060442
102	0.8952357446	0.4473308283
103	0.8964145589	0.4446062815
104	0.8979911489	0.4428766204
105	0.8991772355	0.4413482837
106	0.8987815253	0.4397452779
107	0.8999697022	0.4384541094
108	0.9003664596	0.4363126233
109	0.9023555055	0.4333778398
110	0.9039530809	0.431522108
111	0.9047539918	0.4303981311
112	0.9071652626	0.4284994208
113	0.9071652626	0.4262359197
114	0.9075683912	0.4253881089
115	0.9079718782	0.423096073
116	0.9087799295	0.4222882785
117	0.9104003546	0.4201407822
118	0.9116194707	0.41867838
119	0.9136586028	0.4161973395
120	0.9132500469	0.4151183885
121	0.9148864667	0.4129571783
122	0.9169402568	0.4115114171
123	0.9173521218	0.4100550609
124	0.9165287614	0.4084562433
125	0.9165287614	0.4075222852
126	0.9190032886	0.4059661573
127	0.9190032886	0.4047934272
128	0.9210756246	0.4026781146
129	0.9190032886	0.4000898953
130	0.9185899399	0.399007283
131	0.9202455697	0.3975482626
132	0.9244108727	0.394820515
133	0.9231573279	0.3928326843
134	0.9252484622	0.391347806
135	0.9252484622	0.3901535285
136	0.9265076963	0.3880444791
137	0.9277703626	0.385895232
138	0.9281920165	0.3841637586
139	0.929459281	0.3819066383
140	0.9303060482	0.3798495194
141	0.9315790958	0.3783531213
142	0.9332819223	0.3766615336
143	0.9332819223	0.3751737451
144	0.933708602	0.3736083831
145	0.934563133	0.3713244474
146	0.936276896	0.3699193229
147	0.9379969558	0.3687569069
148	0.9397233471	0.3672207687
149	0.9392911538	0.3660395753
150	0.9401559384	0.3647582603
151	0.9410223168	0.3639599555
152	0.9410223168	0.3620116862
153	0.9418902935	0.3602770136
154	0.9423248826	0.3588162277
155	0.9423248826	0.3573054743
156	0.9423248826	0.3560471374
157	0.9431952649	0.3545032225
158	0.9431952649	0.3521352722
159	0.9440672566	0.3512753477
160	0.945816086	0.3492987378
161	0.945816086	0.3486114799
162	0.9453782715	0.3472505164
163	0.9462543062	0.3453149512
164	0.9471319659	0.3438725902
165	0.9475714066	0.3419171735
166	0.9480112553	0.3404083189
167	0.9480112553	0.3394221812
168	0.9488921787	0.3377771036
169	0.9493332547	0.3363581544
170	0.9519883455	0.3338148789
171	0.9533214681	0.3317860125
172	0.9537666724	0.3304880057
173	0.9551047837	0.3291614432
174	0.9559989457	0.3280543036
175	0.9568947836	0.3266991034
176	0.9577923019	0.3249914122
177	0.9582416928	0.323595116
178	0.9577923019	0.3214325577
179	0.9577923019	0.3205128025
180	0.9582416928	0.3194991042
181	0.9600434811	0.3176994237
182	0.9595923991	0.3168075128
183	0.9609469186	0.3151662504
184	0.9613992753	0.3134786928
185	0.9627589043	0.3129091697
186	0.9627589043	0.3103583263
187	0.9623052675	0.308855954
188	0.9641223843	0.3077553173
189	0.9659463765	0.3055253282
190	0.9654897318	0.3042379593
191	0.9664034535	0.3026692998
192	0.9668609632	0.3014341565
193	0.9677772834	0.2990926009
194	0.9673189063	0.2968751071
195	0.9682360951	0.2944243481
196	0.9696151442	0.2930577318
197	0.9705366948	0.2917742801
198	0.9691550249	0.2908997599
199	0.9696151442	0.2896964332
200	0.9705366948	0.2881318195
201	0.9714599987	0.2870004344
202	0.9714599987	0.2858534559
203	0.9714599987	0.2844902553
204	0.9714599987	0.2829241564
205	0.9723850611	0.2815855243
206	0.9728482532	0.2809124985
207	0.9723850611	0.279668441
208	0.9719223098	0.2781991442
209	0.9728482532	0.2766579227
210	0.9728482532	0.2748388809
211	0.9737759626	0.2734020859
212	0.975170849	0.2713991311
213	0.975170849	0.2707999706
214	0.9761029955	0.2692366664
215	0.9770369257	0.267555295
216	0.9775045614	0.2661324728
217	0.9775045614	0.2651924861
218	0.9784411768	0.2630976009
219	0.978910158	0.2625629225
