iter	Passed	Remaining
0	6	661
1	8	428
2	12	401
3	16	394
4	19	379
5	23	366
6	26	348
7	27	318
8	30	307
9	33	298
10	36	291
11	38	285
12	41	279
13	44	273
14	46	264
15	49	258
16	51	252
17	53	245
18	55	238
19	58	232
20	59	225
21	61	219
22	64	215
23	66	209
24	68	204
25	69	198
26	71	192
27	72	187
28	74	182
29	75	177
30	77	172
31	79	167
32	80	163
33	81	159
34	83	154
35	84	150
36	85	146
37	87	142
38	88	138
39	89	134
40	90	130
41	91	126
42	92	123
43	93	119
44	94	115
45	95	112
46	96	109
47	97	105
48	98	102
49	99	99
50	100	96
51	101	93
52	102	91
53	103	88
54	104	85
55	105	82
56	106	80
57	107	77
58	108	75
59	109	72
60	110	70
61	111	68
62	112	65
63	113	63
64	114	61
65	115	59
66	116	57
67	116	55
68	118	53
69	119	51
70	119	48
71	120	46
72	121	45
73	122	43
74	123	41
75	124	39
76	125	37
77	126	35
78	127	34
79	128	32
80	129	30
81	130	28
82	131	26
83	132	25
84	133	23
85	134	21
86	135	20
87	136	18
88	137	16
89	138	15
90	139	13
91	140	12
92	141	10
93	142	9
94	143	7
95	144	6
96	144	4
97	146	2
98	146	1
99	147	0
